DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,PrimePositino,PrimeBlock
QUART,1822.355,Studied,29,1,NA,12,Identical,LEAVES,NA,NA,unrelated,,
SHARK,1300.63,Studied,5,1,NA,35,Related,SEED,PLANT,JAWS,unrelated,,
GRASS,1651.23,Studied,4,1,Identical,24,Unrelated,DEATH,NA,NA,identical,19,1
PEPPER,4703.795,Studied,2,1,NA,14,Unrelated,PURPOSE,NA,NA,unrelated,,
TEETH,1283.4,Studied,1,1,NA,15,Unrelated,SAME,NA,NA,unrelated,,
RIVER,6029.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7988.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7988.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
STONE,1133.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
ROCK,7572.435,Studied,32,1,NA,19,Identical,GRASS,NA,NA,unrelated,,
,7989.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
PICTURE,6754.405,Studied,33,3,Identical,"22,31",Identical,LEARN,NA,NA,unrelated,,
PHONE,6254.22,Studied,13,1,NA,17,Related,PLUS,MINUS,DIAL,related,4,1
,7988.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
GOLD,950.09,NA,NA,NA,NA,23,Related,PARROT,BIRD,NA,unrelated,,
WEIGHT,1934.475,Studied,35,2,NA,22,Unrelated,SHEEP,NA,NA,unrelated,,
MONEY,1250.69,Studied,36,2,Identical,24,Unrelated,GRAVE,NA,NA,identical,9,2
SCARED,6137.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7989.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7989.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
UNDER,6988.51,NA,NA,NA,NA,26,Identical,LAND,NA,NA,unrelated,,
,7989.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
FAIR,2050.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
QUART,3786.395,Studied,29,1,NA,12,Identical,LEAVES,NA,NA,unrelated,,
,7989.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7989.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7988.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7997.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
CAMPSITE,2951.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
TRIBE,1184.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7996.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
