StudID,StudID_RT,keyWelcome.keys,keyWelcome.rt,key_resp.keys,key_resp.rt,BackupWord,practiceblockstudy.thisRepN,practiceblockstudy.thisTrialN,practiceblockstudy.thisN,practiceblockstudy.thisIndex,practiceblockstudy.ran,Rand,PracWord,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,Text20_RT,captured_string_prac,selectedPrimeprac,pracPrimeCondition,pracPrimeduration,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,pracBlock.ran,keyNextInstruct.keys,keyNextInstruct.rt,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsStudy.ran,WordItem,keyInstructAgain.keys,keyInstructAgain.rt,Text4_RT,captured_string,selectedPrimeblock1,PrimeConditionblock1,block1Primeduration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_4.keys,key_resp_4.rt,Block2.thisRepN,Block2.thisTrialN,Block2.thisN,Block2.thisIndex,Block2.ran,key_resp_5.keys,key_resp_5.rt,text32_RT,captured_string_block2,selectedPrimeblock2,primeConditionblock2,block2primeduration,trialsBlock2.thisRepN,trialsBlock2.thisTrialN,trialsBlock2.thisN,trialsBlock2.thisIndex,trialsBlock2.ran,trialsBlock2.order
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,7988.79,XXXXX,POUND,Identical,38.88000001,29,0,29,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,8001.495,XXXXX,SNEEZE,Unrelated,49.53999999,30,0,30,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,8000.2,XXXXX,SOFT,Unrelated,50.495,31,0,31,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,8000.585,XXXXX,MAJOR,Related,49.155,32,0,32,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,8001.615,XXXXX,DEVIL,Identical,49.34500001,33,0,33,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,7999.85,XXXXX,GRAIN,Related,49.55500001,34,0,34,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,7998.06,XXXXX,JEANS,Unrelated,49.05999999,35,0,35,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,8000.665,XXXXX,ONCE,Unrelated,48.555,36,0,36,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,7998.755,XXXXX,STARS,Identical,49.11000001,37,0,37,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,8000.22,XXXXX,SOUTH,Identical,49.43,38,0,38,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,8000.115,XXXXX,HIGHWAY,Related,50.77999999,39,0,39,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,8001.55,XXXXX,HONEY,Related,48.155,40,0,40,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,7999.77,XXXXX,MINIMUM,Unrelated,48.205,41,0,41,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,MOST,,,,,,0.07264907,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,MOST,,,,,,,,,,,,,space,7.367855,0,0,0,24,1,,,,,,,,,,,,,
,,,,,,SQUARE,,,,,,0.521117063,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,SQUARE,,,,,,,,,,,,,,,0,1,1,30,1,,,,,,,,,,,,,
,,,,,,THREAD,,,,,,0.117531007,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,THREAD,,,,,,,,,,,,,,,0,2,2,36,1,,,,,,,,,,,,,
,,,,,,MOTHER,,,,,,0.145463578,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,MOTHER,,,,,,,,,,,,,,,0,3,3,18,1,,,,,,,,,,,,,
,,,,,,TEST,,,,,,0.456982746,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,,,0,4,4,34,1,,,,,,,,,,,,,
,,,,,,BALLET,,,,,,0.761540495,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,BALLET,,,,,,,,,,,,,,,0,5,5,1,1,,,,,,,,,,,,,
,,,,,,ALIVE,,,,,,0.277032632,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,ALIVE,,,,,,,,,,,,,,,0,6,6,0,1,,,,,,,,,,,,,
,,,,,,BRANCH,,,,,,0.072654023,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,BRANCH,,,,,,,,,,,,,,,0,7,7,4,1,,,,,,,,,,,,,
,,,,,,CHAIN,,,,,,0.248655233,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,CHAIN,,,,,,,,,,,,,,,0,8,8,9,1,,,,,,,,,,,,,
,,,,,,VERB,,,,,,0.142191034,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,,,0,9,9,38,1,,,,,,,,,,,,,
,,,,,,MIDDLE,,,,,,0.109780095,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,MIDDLE,,,,,,,,,,,,,,,0,10,10,17,1,,,,,,,,,,,,,
,,,,,,CANDLE,,,,,,0.847057173,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,CANDLE,,,,,,,,,,,,,,,0,11,11,7,1,,,,,,,,,,,,,
,,,,,,TOES,,,,,,0.758199065,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,TOES,,,,,,,,,,,,,,,0,12,12,37,1,,,,,,,,,,,,,
,,,,,,BUCKET,,,,,,0.281531647,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,BUCKET,,,,,,,,,,,,,,,0,13,13,5,1,,,,,,,,,,,,,
,,,,,,NAVY,,,,,,0.861915657,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,NAVY,,,,,,,,,,,,,,,0,14,14,19,1,,,,,,,,,,,,,
,,,,,,NEWS,,,,,,0.610073087,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,NEWS,,,,,,,,,,,,,,,0,15,15,8,1,,,,,,,,,,,,,
,,,,,,HUNGER,,,,,,0.276207725,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,HUNGER,,,,,,,,,,,,,,,0,16,16,11,1,,,,,,,,,,,,,
,,,,,,PURPLE,,,,,,0.579213204,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,PURPLE,,,,,,,,,,,,,,,0,17,17,22,1,,,,,,,,,,,,,
,,,,,,FIRST,,,,,,0.559627888,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,FIRST,,,,,,,,,,,,,,,0,18,18,15,1,,,,,,,,,,,,,
,,,,,,WAITER,,,,,,0.802829616,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,WAITER,,,,,,,,,,,,,,,0,19,19,39,1,,,,,,,,,,,,,
,,,,,,SUPPER,,,,,,0.697638836,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,SUPPER,,,,,,,,,,,,,,,0,20,20,32,1,,,,,,,,,,,,,
,,,,,,BORROW,,,,,,0.035213906,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,BORROW,,,,,,,,,,,,,,,0,21,21,3,1,,,,,,,,,,,,,
,,,,,,WINTER,,,,,,0.331710558,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,WINTER,,,,,,,,,,,,,,,0,22,22,41,1,,,,,,,,,,,,,
,,,,,,STATES,,,,,,0.853191535,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,STATES,,,,,,,,,,,,,,,0,23,23,31,1,,,,,,,,,,,,,
,,,,,,WILD,,,,,,0.18932021,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,WILD,,,,,,,,,,,,,,,0,24,24,40,1,,,,,,,,,,,,,
,,,,,,LOOK,,,,,,0.98935752,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,LOOK,,,,,,,,,,,,,,,0,25,25,16,1,,,,,,,,,,,,,
,,,,,,TOUR,,,,,,0.958468859,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,TOUR,,,,,,,,,,,,,,,0,26,26,26,1,,,,,,,,,,,,,
,,,,,,READ,,,,,,0.489218306,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,READ,,,,,,,,,,,,,,,0,27,27,23,1,,,,,,,,,,,,,
,,,,,,THIRST,,,,,,0.123393998,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,THIRST,,,,,,,,,,,,,,,0,28,28,35,1,,,,,,,,,,,,,
,,,,,,ARGUE,,,,,,0.122329989,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,ARGUE,,,,,,,,,,,,,,,0,29,29,10,1,,,,,,,,,,,,,
,,,,,,BUTTER,,,,,,0.681088596,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,BUTTER,,,,,,,,,,,,,,,0,30,30,6,1,,,,,,,,,,,,,
,,,,,,INHALE,,,,,,0.163222241,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,INHALE,,,,,,,,,,,,,,,0,31,31,12,1,,,,,,,,,,,,,
,,,,,,KIDNAP,,,,,,0.323311752,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,KIDNAP,,,,,,,,,,,,,,,0,32,32,13,1,,,,,,,,,,,,,
,,,,,,PAIN,,,,,,0.906121773,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,PAIN,,,,,,,,,,,,,,,0,33,33,21,1,,,,,,,,,,,,,
,,,,,,SEEK,,,,,,0.513483793,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,SEEK,,,,,,,,,,,,,,,0,34,34,25,1,,,,,,,,,,,,,
,,,,,,SLOW,,,,,,0.12697809,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,SLOW,,,,,,,,,,,,,,,0,35,35,27,1,,,,,,,,,,,,,
,,,,,,SPIDER,,,,,,0.760276634,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,SPIDER,,,,,,,,,,,,,,,0,36,36,29,1,,,,,,,,,,,,,
,,,,,,TENNIS,,,,,,0.454054032,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,TENNIS,,,,,,,,,,,,,,,0,37,37,33,1,,,,,,,,,,,,,
,,,,,,LESS,,,,,,0.175444232,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,LESS,,,,,,,,,,,,,,,0,38,38,14,1,,,,,,,,,,,,,
,,,,,,CLUE,,,,,,0.028230763,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,CLUE,,,,,,,,,,,,,,,0,39,39,2,1,,,,,,,,,,,,,
,,,,,,SOAP,,,,,,0.297802898,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,SOAP,,,,,,,,,,,,,,,0,40,40,28,1,,,,,,,,,,,,,
,,,,,,NOSE,,,,,,0.633421685,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,NOSE,,,,,,,,,,,,,,,0,41,41,20,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.33522,1468.01,NOSE,SERVER,Related,50.485,0,0,0,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2331.89,SOAP,MIDDLE,Identical,48.74,1,0,1,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850.03,TENNIS,TALK,Unrelated,37.35499999,2,0,2,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.63,MOST,LOOK,Identical,48.89000001,3,0,3,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365.58,LESS,VIOLET,Related,49.505,4,0,4,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.91,SPIDER,ROOF,Unrelated,49.87999999,5,0,5,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2738.045,KIDNAP,PAIN,Identical,50.42,6,0,6,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598.725,PAIN,TOUR,Identical,50.585,7,0,7,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.935,SLOW,SICK,Unrelated,49.37499999,8,0,8,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.145,SEEK,LAUGH,Unrelated,37.38000001,9,0,9,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8001.895,LLLOOOLLOO,PAIL,Related,49.38,10,0,10,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1799.11,LOOK,HEAR,Unrelated,50.16000001,11,0,11,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533.135,READ,DEAD,Related,49.925,12,0,12,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116.5,STATES,SING,Unrelated,49.205,13,0,13,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3467.37,WINTER,THREAD,Identical,49,14,0,14,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467.2,FEEL,HUNGER,Identical,51.525,15,0,15,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.05,XXXXX,HAIR,Unrelated,48.65499999,16,0,16,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831.825,MOTHER,VERB,Identical,51.145,17,0,17,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4333.3,SQUARE,MEDIA,Related,50.2,18,0,18,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6899.625,THREAD,SMELL,Unrelated,48.735,19,0,19,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3729.36,BALLET,STREET,Unrelated,49.785,20,0,20,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134.23,EST,CANDLE,Identical,49.17,21,0,21,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365.58,EST,DESERT,Unrelated,49.73000001,22,0,22,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2565.935,TEST,CHAIN,Identical,48.255,23,0,23,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2366.035,TREE,ARGUE,Identical,50.61000001,24,0,24,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443.995,IDDLE,HAPPY,Unrelated,49.295,25,0,25,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264.71,MIDDLE,LOSE,Unrelated,49.965,26,0,26,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383.525,WATER,DINNER,Related,48.8,27,0,27,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3015.25,TOES,BORROW,Identical,49.94499999,28,0,28,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.22,STRING,BOARD,Unrelated,51.175,29,0,29,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5048.715,FIRE,STRANGE,Unrelated,48.36,30,0,30,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7998.69,XXXXX,TAME,Related,38.85500001,31,0,31,0,1,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8014.51,ESCAPEESCAP,,,,42,0,42,0,1,41
